127.0.0.1 - - [03/Feb/2019:17:39:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:32 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:32 +0530] "GET /spring-mvc-demo/resources/css/my-test.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:32 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:32 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:34 +0530] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:38 +0530] "GET /spring-mvc-demo/hello/processFormVersionThree?firstName=Rajesh&lastName=Boda HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:39:38 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:09 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:09 +0530] "GET /spring-mvc-demo/resources/css/my-test.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:14 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:21 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:47 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:47 +0530] "GET /spring-mvc-demo/resources/css/my-test.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:47 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:47 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:49 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:51:53 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:03 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:17 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:18 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:19 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:20 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:20 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:20 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:20 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:20 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:21 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:21 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:52:21 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
